IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.91.22.66,4,4,0.00,61.76,0.00
47.91.22.66,4,4,0.00,62.51,0.00
47.91.22.66,4,4,0.00,67.64,0.00
47.91.1.38,4,4,0.00,67.88,0.00
47.74.35.110,4,4,0.00,68.13,0.00
47.91.1.38,4,4,0.00,68.23,0.00
47.74.35.110,4,4,0.00,68.70,0.00
47.91.22.66,4,4,0.00,68.99,0.00
47.91.1.38,4,4,0.00,69.00,0.00
47.74.57.50,4,4,0.00,69.07,0.00
47.91.1.94,4,4,0.00,69.56,0.00
47.74.43.143,4,4,0.00,70.07,0.00
47.91.1.94,4,4,0.00,70.07,0.00
47.74.35.110,4,4,0.00,70.17,0.00
47.74.6.157,4,4,0.00,71.30,0.00
47.74.43.143,4,4,0.00,71.31,0.00
47.91.1.94,4,4,0.00,71.67,0.00
47.74.6.55,4,4,0.00,71.99,0.00
47.74.35.110,4,4,0.00,72.01,0.00
47.74.43.143,4,4,0.00,72.43,0.00
47.74.6.55,4,4,0.00,72.81,0.00
47.74.61.25,4,4,0.00,72.95,0.00
47.91.22.66,4,4,0.00,73.44,0.00
47.74.43.143,4,4,0.00,73.45,0.00
47.74.54.182,4,4,0.00,73.90,0.00
47.74.6.55,4,4,0.00,74.08,0.00
47.74.43.143,4,4,0.00,74.14,0.00
47.91.1.38,4,4,0.00,74.46,0.00
47.91.1.94,4,4,0.00,74.56,0.00
47.91.1.38,4,4,0.00,74.62,0.00
47.91.1.94,4,4,0.00,74.69,0.00
47.91.22.66,4,4,0.00,75.01,0.00
47.74.6.55,4,4,0.00,75.04,0.00
47.74.6.55,4,4,0.00,75.47,0.00
47.74.6.157,4,4,0.00,75.88,0.00
47.74.43.143,4,4,0.00,75.97,0.00
47.74.6.157,4,4,0.00,76.08,0.00
47.91.1.94,4,4,0.00,77.02,0.00
47.91.1.94,4,4,0.00,77.13,0.00
47.74.6.157,4,4,0.00,77.47,0.00
47.74.6.157,4,4,0.00,78.12,0.00
47.74.61.25,4,4,0.00,78.40,0.00
47.74.6.55,4,4,0.00,79.00,0.00
47.74.61.25,4,4,0.00,79.06,0.00
47.91.22.66,4,4,0.00,79.32,0.00
47.74.61.25,4,4,0.00,79.62,0.00
47.74.6.55,4,4,0.00,79.66,0.00
47.74.54.182,4,4,0.00,79.81,0.00
47.74.53.112,4,4,0.00,80.19,0.00
47.74.54.182,4,4,0.00,80.22,0.00
47.74.53.112,4,4,0.00,80.23,0.00
47.74.35.110,4,4,0.00,80.47,0.00
47.74.6.55,4,4,0.00,80.65,0.00
47.74.43.143,4,4,0.00,80.70,0.00
47.74.6.157,4,4,0.00,80.99,0.00
47.74.54.182,4,4,0.00,81.29,0.00
47.74.53.112,4,4,0.00,81.55,0.00
47.74.61.25,4,4,0.00,81.59,0.00
47.74.6.55,4,4,0.00,82.21,0.00
47.74.6.55,4,4,0.00,82.39,0.00
47.74.54.182,4,4,0.00,82.78,0.00
47.74.54.182,4,4,0.00,83.28,0.00
47.74.53.112,4,4,0.00,83.40,0.00
47.74.6.55,4,4,0.00,83.96,0.00
47.91.1.38,4,4,0.00,85.01,0.00
47.74.6.157,4,4,0.00,85.09,0.00
47.74.6.55,4,4,0.00,85.09,0.00
47.74.54.182,4,4,0.00,85.16,0.00
47.74.6.55,4,4,0.00,86.00,0.00
47.74.53.112,4,4,0.00,86.52,0.00
47.91.1.38,4,4,0.00,86.73,0.00
47.74.53.112,4,4,0.00,86.76,0.00
47.74.53.112,4,4,0.00,88.00,0.00
47.74.61.25,4,4,0.00,92.74,0.00
